Ano,Mês,Dia,Data,Tema,Ação,Tipo,Explicação,Situação,Classificação,Link,,
,,,19/10/2021,Biodiversidade,"Torna pública a seleção das unidades de conservação federais na segunda etapa do Programa Adote um Parque, e fixa valores mínimos de referência.",Portaria,"PORTARIA MMA Nº 472, DE 18 DE OUTUBRO DE 2021","Torna pública a seleção das unidades de conservação federais na segunda etapa do Programa Adote um Parque Trilhas da Caatinga, englobando as seguintes unidades de conservação federais: (i) FLONA de Açu - Trilha Luar do Sertão; (ii) FLONA de Contendas do Sincorá - Trilha das Bromélias; (iii) FLONA do Araripe-Apodi - Trilha do Belmonte e Trilha do Mirante do Pico; (iv) MONA do Rio São Francisco - Trilha dos Cânions do Rio São Francisco, Trilha do Vai e Vem, Trilha Mirante do Talhado, Trilha Mirante do Santinho; (v) PARNA da Chapada Diamantina - Bike Park Tumezinho, Capão - Águas Claras, trecho em área indenizada (projeto corrigido), Acessos ao Vale do Pati, Capão - Águas Claras,trecho em terras devolutas, Trilha da Cachoeira da Fumaça por Cima, trecho em terra indenizada, Trilha daCachoeira da Fumaça por Cima, trecho em áreas devolutas; (vi) PARNA da Furna Feia - Trilha do Abrigo do Letreiro, Trilha da Caverna Furna Feia; (vii) PARNA de Sete Cidades - Trilha Vale das Pedras, Trilha de Bike, Trilha da Primeira Cidade, Trilha da Segunda Cidade, Trilha da Terceira Cidade, Trilha da Quarta Cidade, Trilha da Quinta Cidade, Trilha da Sexta Cidade, Trilha da Sétima Cidade; (viii) PARNA Serra de Itabaiana - Trilha do Poço das Moças; (ix) PARNA de Jericoacoara - Trilha do Serrote-Pedra furada; (x) PARNA de Ubajara - Trilha do Horto, Trilha Araticum-Gruta.",Regulação,,,
,,,19/10/2021,Indígena,"Dispõe sobre o emprego da Força Nacional de Segurança Pública - FNSP, em apoio à Polícia Federal na Terra Indígena Serrinha, no Estado do Rio Grande do Sul.",Portaria,"PORTARIA MJSP Nº 466, DE 18 DE OUTUBRO DE 2021","Autoriza o emprego da Força Nacional de Segurança Pública em apoio à Polícia Federal na Terra Indígena Serrinha, no Estado do Rio Grande do Sul, nas atividades e nos serviços imprescindíveis à preservação da ordem pública e da incolumidade das pessoas e do patrimônio, em caráter episódico e planejado, por trinta dias. O prazo do apoio prestado pela Força Nacional de Segurança Pública poderá ser prorrogado, se necessário.",Resposta,,,
,,,19/10/2021,Águas,"Regulamenta os art. 6º e art. 8º da Lei nº 14.182, de 12 de julho de 2021, para dispor sobre os programas de revitalização dos recursos hídricos das Bacias Hidrográficas do Rio São Francisco e do Rio Parnaíba e daquelas na área de influência dos reservatórios das Usinas Hidrelétricas de Furnas.",Decreto,"DECRETO Nº 10.838, DE 18 DE OUTUBRO DE 2021","Estabelece regramento para os programas de revitalização dos recursos hídricos das Bacias Hidrográficas do Rio São Francisco e do Rio Parnaíba e daquelas na área de influência dos reservatórios das Usinas Hidrelétricas de Furnas. Fica instituída a Conta do Programa de Revitalização dos Recursos Hídricos das Bacias Hidrográficas do Rio São Francisco e do Rio Parnaíba - CPR São Francisco e Parnaíba - e a Conta do Programa de Revitalização dos Recursos Hídricos das Bacias Hidrográficas da Área de Influência dos Reservatórios das Usinas Hidrelétricas de Furnas - CPR Furnas, destinadas ao desenvolvimento de ações que gerem recarga das vazões afluentes e ampliem a flexibilidade operativa dos reservatórios, sem prejudicar o uso prioritário e o uso múltiplo dos recursos hídricos. Constitui obrigação da concessionária de geração de energia elétrica: (i) localizada na Bacia Hidrográfica do Rio São Francisco aportar anualmente, pelo prazo de dez anos, na CPR São Francisco e Parnaíba, o montante de R$ 350.000.000,00 (trezentos e cinquenta milhões de reais); (ii) localizada na área de influência dos reservatórios das Usinas Hidrelétricas de Furnas aportar anualmente, pelo prazo de dez anos, na CPR Furnas, o montante de R$ 230.000.000,00 (duzentos e trinta milhões de reais). Fica instituído o Comitê Gestor da CPR Furnas, no âmbito do Ministério do Desenvolvimento Regional, cm seguintes representantes: I - dois do Ministério do Desenvolvimento Regional, um dos quais o presidirá; II - um do Ministério da Infraestrutura; III - um do Ministério da Agricultura, Pecuária e Abastecimento; IV - um do Ministério de Minas e Energia; V - um do Ministério do Meio Ambiente; e VI - um da Associação Brasileira de Entidades Estaduais de Meio Ambiente.",Planejamento,,,
,,,18/10/2021,Terras,"Institui o Grupo de Trabalho com o objetivo de supervisionar e monitorar as atividades, ações e metas relacionadas à regularização fundiária rural no território nacional executadas pelo Instituto Nacional de Colonização e Reforma Agrária.",Portaria,"PORTARIA Nº 10, DE 15 DE OUTUBRO DE 2021","Institui o Grupo de Trabalho - GT, com o objetivo de supervisionar e monitorar as ações e metas executadas pelo Instituto Nacional de Colonização e Reforma Agrária - Incra, relacionadas à regularização fundiária rural de: I - glebas públicas; II - Política Nacional de Reforma Agrária - PNRA; III - terras ocupadas pelos remanescentes das comunidades de quilombos; e IV - cadastro e certificação de imóveis rurais. Dentre as suas competências, destacam-se: (i) coletar e analisar dados relacionados às medidas administrativas e às atividades operacionais pertinentes à regularização fundiária, executadas pelo Instituto Nacional de Colonização e Reforma Agrária; e (ii) propor ações e normativos, com o objetivo de viabilizar o cumprimento das metas estabelecidas e aperfeiçoar o procedimento de regularização fundiária. O INCRA deverá fornecer: (i) relatórios analíticos ordinários mensais, contendo as informações solicitadas pelo Grupo de Trabalho, pertinentes ao objeto da presente Portaria; e (ii) relatórios extraordinários complementares, desde que também sejam solicitados. O Grupo de Trabalho exercerá as atividades no prazo de cento e oitenta dias, prorrogável por até igual período, devendo elaborar o relatório final dos trabalhos realizados, no prazo de até sessenta dias, contados do término do prazo de atividades. Esta Portaria entra em vigor em 1º de novembro de 2021.",Reforma institucional,,,
,,,18/10/2021,Energia,"Cria a Autoridade Nacional de Segurança Nuclear (ANSN); altera as Leis n os 4.118, de 27 de agosto de 1962, 6.189, de 16 de dezembro de 1974, 6.453, de 17 de outubro de 1977, 9.765, de 17 de dezembro de 1998, 8.691, de 28 de julho de 1993, e 10.308, de 20 de novembro de 2001; e revoga a Lei nº 13.976, de 7 de janeiro de 2020.",Lei,"LEI Nº 14.222, DE 15 DE OUTUBRO DE 2021","Instítui a Autoridade Nacional de Segurança Nuclear - ANSN, autarquia federal com patrimônio próprio, autonomia administrativa, técnica e financeira, com sede e foro na cidade do Rio de Janeiro, Estado do Rio de Janeiro, e atuação no território nacional, sem aumento de despesa, por cisão da Comissão Nacional de Energia Nuclear - CNEN. A finalidade institucional da ANSN é monitorar, regular e fiscalizar a segurança nuclear, a proteção radiológica e a das atividades e das instalações nucleares de atividades nucleares, materiais nucleares e fontes de radiação no território nacional, nos termos do disposto na Política Nuclear Brasileira e nas diretrizes do Governo federal. A medida revoga regulações anteriores, tirando do Comando da Marinha a competência sobre plantas e combustíveis nucleares e inclui na LEI 6.189, DE 16 DE DEZEMBRO DE 1974. as propostas da MP relacionadas à Comissão Nacional de Energia Nuclear - CNEN e Indústrias Nucleares do Brasil S.A., incluindo monopólios minerários e diretrizes para exportação. Norma oriunda da conversão da Medida Provisória 1049.",Legislação,,,
,,,15/10/2021,Desastres,Reconhecer a situação de emergência na área descrita no Formulário de Informações do Desastre - FIDE.,Portaria,"PORTARIA Nº 2.563, DE 13 DE OUTUBRO DE 2021","Reconhece a situação de emergência por (i) Estiagem - Boa Nova/BA, Capela do Alto Alegre/BA, Ouro Branco/RN; (ii) Seca - Coronel José Dias/PI, Porto da Folha/SE; (iii) Granizo - Bom Jesus/RS.",Resposta,,,
,,,15/10/2021,Desastres,"Reconhecer, em decorrência de ESTIAGEM, COBRADE: 1.4.1.1.0, a situação de emergência nos municípios relacionados.",Portaria,"PORTARIA Nº 2.562, DE 13 DE OUTUBRO DE 2021","Reconhece a situação de emergência por estiagem em Águas Belas/PE, Alagoinha/PE, Belo Jardim/PE, Bezerros/PE, Bom Conselho/PE, Bom Jardim/PE, Brejão/PE, Brejo da Madre de Deus/PE, Buíque/PE, Cachoeirinha/PE, Caetés/PE, Capoeiras/PE, Caruaru/PE, Casinhas/PE, Cumaru/PE, Feira Nova/PE, Frei Miguelinho/PE, Gravatá/PE,Iati/PE, Itaíba/PE, Jataúba/PE, João Alfredo/PE, Jucatí/PE, Limoeiro/PE, Machados/PE, Orobó/PE, Paranatama/PE, Passira/PE, Pedra/PE, Pesqueira/PE, Poção/PE, Riacho das Almas/PE, Sairé/PE, Salgadinho/PE, Saloá/PE, Sanharó/PE, Santa Cruz do Capibaribe/PE, Santa Maria do Cambucá/PE, São Bento do Una/PE, São Caetano/PE, São Vicente Férrer/PE, Surubim/PE, Taquaritinga do Norte/PE, Terezinha/PE, Toritama/PE, Tupanatinga/PE, Venturosa/PE, Vertente do Lério/PE, Vertentes/PE.",Resposta,,,
,,,14/10/2021,Institucional,"Aprova o Regimento Interno, o Quadro Demonstrativo de Cargos em Comissão e o Estatuto da Auditoria Interna da Agência Nacional de Águas e Saneamento Básico - ANA.",Resolução,"RESOLUÇÃO ANA Nº 104, DE 8 DE OUTUBRO DE 2021","Revogada a Resolução ANA nº 86, de 5 de julho de 2021, dispondo agora que a Diretoria Colegiada será composta por cinco membros, sendo quatro Diretores e um Diretor-Presidente. Ainda, inclui nas competências da Diretoria Colegiada (i) instituir Comissão de Ética, em consonância com a legislação vigente, cujo funcionamento será fixado em regimento próprio aprovado pela DIREC; e (ii) apoiar a elaboração e aprovar os termos do Código de Ética da ANA.",Desregulação,,,
,,,13/10/2021,Pesca,"Dispõe sobre a proibição da captura, do transporte e da comercialização da espécie Hypancistrus sp. L174, vulgarmente conhecida como acari-marrom, zebra-marrom, acari-zebra-marrom (família Loricariidae) com finalidade ornamental e de aquariofilia, em todo território nacional.",Portaria,"PORTARIA SAP/MAPA Nº 410, DE 8 DE OUTUBRO DE 2021","Proíbe a captura, o transporte e a comercialização da espécie Hypancistrus sp. L174, vulgarmente conhecida como acari-marrom, zebra-marrom, acari-zebra-marrom (família Loricariidae), em todo território nacional, não se aplicando tal vedação aos indivíduos oriundos de aquicultores ou empreendimentos aquícolas devidamente inscritos no Registro Geral da Atividade Pesqueira - RGP e com licença válida na categoria de Aquicultor. A Portaria entra em vigor no dia 1º de novembro de 2021.",Regulação,,,
,,,13/10/2021,Pesca,Estabelece procedimentos complementares para a cessão de uso dos espaços físicos em corpos d'água de domínio da União para fins de aquicultura.,Portaria,"PORTARIA SAP/MAPA Nº 412, DE 8 DE OUTUBRO DE 2021","Estabelece que a cessão de uso do espaço físico em corpos d'água de domínio da União para fins de aquicultura é intransferível, não sendo permitido ao titular o parcelamento ou o arrendamento da referida área, sendo permitida a transferência somente em caso de falecimento do cessionário e havendo interesse de continuidade da atividade pelo ascendente, descendente, cônjuge ou convivente, para fins de continuidade da cessão para a manutenção do projeto pelo período remanescente. Também estabelece que as áreas aquícolas de interesse econômico são destinadas a pessoas físicas ou jurídicas que se enquadrem na categoria de aquicultor e que tenham como objetivo a produção comercial de pescado. As áreas aquícolas de interesse social são destinadas a povos e comunidades tradicionais e a participantes de programas de inclusão social. A cessão de uso de que trata essa Portaria terá prazo de 20 anos, podendo ser prorrogada por igual período, a critério da Secretaria de Aquicultura e Pesca. Revoga as seguintes normas: (i) Instrução Normativa MMA/SEAP n° 07, de 28 de abril de 2005; (ii) Instrução Normativa nº 08, de 25 de agosto de 2015; (iii) Instrução Normativa MAPA nº 35, de 30 de agosto de 2016; (iv) Instrução Normativa nº 01, de 3 de fevereiro de 2020; (v) Instrução Normativa nº 02, de 26 de março de 2020; e (vi) Instrução Normativa SAP/MAPA nº 19, de 13 de agosto de 2020.",Desregulação,,,
,,,13/10/2021,Desastres,Reconhecer a situação de emergência na área descrita no Formulário de Informações do Desastre - FIDE.,Portaria,"PORTARIA Nº 2.550, DE 8 DE OUTUBRO DE 2021","Reconhece a situação de emergência por estiagem em Casa Nova/BA, Lajedinho/BA e Vitória da Conquista/BA.",Resposta,,,
,,,13/10/2021,Indígena,"Dispõe sobre o emprego da Força Nacional de Segurança Pública em apoio à Fundação Nacional do Índio na Terra Indígena Guarita, no Estado do Rio Grande do Sul.",Portaria,"PORTARIA Nº 452, DE 8 DE OUTUBRO DE 2021","Autoriza o emprego da Força Nacional de Segurança Pública em apoio à Fundação Nacional do Índio - Funai, no cumprimento de decisão judicial exarada no âmbito da Ação Civil Pública nº 5006890-13.2018.404.7105, da Justiça Federal do Rio Grande do Sul, na Terra Indígena Guarita, no Estado do Rio Grande do Sul, nas atividades e nos serviços imprescindíveis à preservação da ordem pública e da incolumidade das pessoas e do patrimônio, em caráter episódico e planejado, no período de 18 de outubro de 2021 a 29 de outubro de 2021.",Resposta,,,
,,,08/10/2021,Amazônia,"Dispõe sobre a prorrogação do emprego da Força Nacional de Segurança Pública em apoio ao Instituto Chico Mendes de Conservação da Biodiversidade, do Ministério do Meio Ambiente.",Portaria,"PORTARIA Nº 449, DE 7 DE OUTUBRO DE 2021","Autoriza a prorrogação do emprego da Força Nacional de Segurança Pública em apoio ao Instituto Chico Mendes de Conservação da Biodiversidade - ICMBio, nas ações de proteção ambiental nas áreas de atuação do ICMBio, com ênfase no combate ao desmatamento, extração ilegal de minério e madeira, invasão de áreas federais e combate aos incêndios na vegetação, em caráter episódico e planejado, por mais noventa dias, no período de 9 de outubro de 2021 até 6 de janeiro de 2022.",Resposta,,,
,,,08/10/2021,Agricultura,"Altera o Decreto nº 4.074, de 4 de janeiro de 2002, que regulamenta a Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins.",Decreto,"DECRETO Nº 10.833, DE 7 DE OUTUBRO DE 2021","Altera o decreto nº 4.074, de 4 de janeiro de 2002, que definiu as diretrizes para  pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins. Destaque para retirada de obrigatoriedade de publicação dos pedidos e concessões de registros no DOU. Está prevista apenas a divulgação, podendo ser realizada via diário oficial ou sistema de informações de agrotóxicos – SIA. De acordo com a norma, o SIA será desenvolvido pelos órgãos federais de agricultura, de saúde e de meio ambiente, e implementado e mantido pelo órgão federal de agricultura.",Desregulação,,,
,,,07/10/2021,Desastres,Reconhecer a situação de emergência na área descrita no Formulário de Informações do Desastre - FIDE.,Portaria,"PORTARIA Nº 2.520, DE 6 DE OUTUBRO DE 2021","Reconhece a situação de emergência por (i) Estiagem - Caetanos/BA, Lobato/PR; (ii) Seca - Novorizonte/MG, Santana do Riacho/MG, Jaobina do Piauí/PI; (iii) Vendaval - Caxias do Sul/RS.",Resposta,,,
,,,07/10/2021,Desastres,Reconhecer a situação de emergência na área descrita no Formulário de Informações do Desastre - FIDE.,Portaria,"PORTARIA Nº 2.506, DE 5 DE OUTUBRO DE 2021","Reconhece a situação de emergência por (i) Estiagem - Juazeiro/BA, Jaguariba/CE, Paramoti/CE, Lagoa do Ouro/PE; (ii) Seca - Barra do Bugres/MT; (iii) Chuvas Intensas - Paverama/RS.",Resposta,,,
,,,06/10/2021,Desastres,Reconhecer a situação de emergência na área descrita no Formulário de Informações do Desastre - FIDE.,Portaria,"PORTARIA Nº 2.489, DE 4 DE OUTUBRO DE 2021","Reconhece a situação de emergência por (i) Estiagem - Andaraí/BA, Andorinha/BA, Aracatu/BA, Campo Alegre de Lourdes/BA, Cordeiros/BA, Igaporã/BA, Jaguarari/BA, Riacho de Santana/BA, Alvorada do Sul/PR, Parazinho/RN, Dionísio Cerqueira/SC; (ii) Seca - Chorrochó/BA, Quiterianópolis/CE, Luís Gomes/RN; (iii) Incêndio Florestal - Jaciara/MT; (iv) Inundações - Estrela/RS; (v) Vendaval - São Pedro do Sul/RS.",Resposta,,,
,,,06/10/2021,Desastres,Reconhece situação de emergência em municípios do Estado de Goiás/GO.,Portaria,"PORTARIA Nº 2.490, DE 4 DE OUTUBRO DE 2021","Reconhece a situação de emergência por Incêndio Florestal nos municípios goianos de Alto Paraíso de Goiás, Cavalcante, Goiânia, Guarani de Goiás, Mineiros, Pirenópolis, São Domingos, Teresina de Goiás.",Resposta,,,
,,,06/10/2021,Biodiversidade,Institui o Programa Nacional de Resgate de Fauna Silvestre - Resgate+ no âmbito do Ministério do Meio Ambiente.,Portaria,"PORTARIA MMA Nº 455, DE 5 DE OUTUBRO DE 20211","Institui, no âmbito do Ministério do Meio Ambiente, o Programa Nacional de Resgate de Fauna Silvestre - Resgate+. O Programa Resgate+ será coordenado pela Secretaria de Biodiversidade do Ministério do Meio Ambiente, que buscará articular e desenvolver parcerias com outros órgãos governamentais, o setor privado e a sociedade civil para a implementação dos seus objetivos estratégicos, bem como o estabelecimento de regramento próprio relativo aos prazos e condições do Programa. O Programa Resgate+ terá abrangência nacional, alcançando todos os biomas brasileiros. Tem como finalidades: (i) propiciar a implementação de ferramentas para o afugentamento, resgate, atendimento médico veterinário primário e de emergência, e assistencialismo de fauna silvestre, em situação de risco e vulnerabilidade, nos seis biomas brasileiros; (ii) mitigar a perda de biodiversidade decorrente da ocorrência de eventos naturais extremos ou acidentes ambientais causados por ação antrópica; e (iii) orientar a destinação adequada dos animais atendidos em operações de resgate e assistência.",Regulação,,,
